店コード	店名称（漢字）	郵便番号	住所	latitude	longitude
05373	博多デイトスアネックス店	8120012	福岡県福岡市博多区博多駅中央街1-1ﾃﾞｲﾄｽｱﾈｯｸｽ2階	33.589388	130.419404
05374	沼田栄町店	3780014	群馬県沼田市栄町228-5	36.636157	139.04912
05375	茗荷谷店	1120002	東京都文京区小石川5-4-3	35.713868	139.746459
05376	ＢＩＧＨＯＰ印西店	2701335	千葉県印西市原1-2ﾋﾞｯｸﾞﾎｯﾌﾟｶﾞｰﾃﾞﾝﾓｰﾙ印西1階	35.800865	140.163701
05377	札幌伏見店	0640916	北海道札幌市中央区南16条西19丁目1-6	43.0381	141.343161
05378	一宮開明店	4910201	愛知県一宮市奥町字田畑18	35.327097	136.760786
05379	イオン鳥取店	6800847	鳥取県鳥取市天神町1	35.492015	134.22083
05380	地下鉄赤塚店	1790073	東京都練馬区田柄2-51-14	35.762176	139.640381
05381	ゆめモール合志店	8611101	熊本県合志市合生東沖野4048-2	32.907522	130.76547
05382	ＤＣＭ坂店	7314312	広島県安芸郡坂町平成ヶ浜2-1-48	34.342713	132.51047
05383	御殿場店	4120026	静岡県御殿場市東田中1-5-33	35.304812	138.94281
05384	浜松三方原店	4338105	静岡県浜松市中央区三方原町781-1	34.78002	137.712795
05385	モザイクモール港北店	2240003	神奈川県横浜市都筑区中川中央1-31-1-2	35.551593	139.577535
05386	島忠大和店	2420014	神奈川県大和市上和田2670	35.451648	139.471964
05387	ゆめタウン益田店	6980041	島根県益田市高津7-18-21	34.686074	131.817399
05388	マーヴ北綾瀬リエッタ店	1200006	東京都足立区谷中二丁目6-30	35.777798	139.833599
05389	鳴子店	4580011	愛知県名古屋市緑区相川3-73	35.100489	136.971945
05390	青森佃店	0300963	青森県青森市中佃2-19-25	40.818018	140.781734
05391	弘前駅前店	0368002	青森県弘前市大字駅前2-10-7	40.601085	140.481668
05393	神戸伊川谷店	6512124	兵庫県神戸市西区伊川谷町潤和713-1	34.665847	135.001097
05394	アスティ岐阜店	5008856	岐阜県岐阜市橋本町一丁目10-1	35.41065	136.752726
05395	福井春江店	9190416	福井県坂井市春江町江留下宇和江50	36.126718	136.220422
05396	中野坂上店	1640011	東京都中野区中央2-2-31	35.699356	139.674315
05397	日立田尻店	3191416	茨城県日立市田尻町5-13-4	36.626533	140.675227
05398	三軒茶屋店	1540024	東京都世田谷区三軒茶屋1-41-9	35.641831	139.66854
05399	ゆめタウン呉店	7370029	広島県呉市宝町5-10ゆめﾀｳﾝ呉店3階ﾌｰﾄﾞｺｰﾄ内	34.243718	132.556015
05400	美野島店	8120017	福岡県福岡市博多区美野島2-5-6	33.5781	130.418824
05401	イオンモールナゴヤドーム前店	4610048	愛知県名古屋市東区矢田南4-102-3ｲｵﾝﾓｰﾙﾅｺﾞﾔﾄﾞｰﾑ前店2階	35.186551	136.942214
